# Complex Love numbers for a periodic load
# Computed by ISSM on 06-Mar-2026 12:18:35
#
#        T (yr)        Re(h_2)        Im(h_2)        Re(l_2)        Im(l_2)        Re(k_2)        Im(k_2)
   2.121452e-02   6.306901e-01  -4.081440e-06   8.884374e-02  -8.985838e-07   3.185011e-01  -2.221156e-06
   1.867914e-02   6.306901e-01  -3.593660e-06   8.884374e-02  -7.911926e-07   3.185011e-01  -1.955702e-06
   1.644676e-02   6.306901e-01  -3.164176e-06   8.884374e-02  -6.966359e-07   3.185011e-01  -1.721973e-06
   1.448118e-02   6.306901e-01  -2.786020e-06   8.884374e-02  -6.133798e-07   3.185011e-01  -1.516177e-06
   1.275051e-02   6.306901e-01  -2.453058e-06   8.884374e-02  -5.400737e-07   3.185011e-01  -1.334977e-06
   1.122668e-02   6.306901e-01  -2.159889e-06   8.884374e-02  -4.755286e-07   3.185011e-01  -1.175431e-06
   9.884959e-03   6.306901e-01  -1.901757e-06   8.884374e-02  -4.186974e-07   3.185011e-01  -1.034954e-06
   8.703591e-03   6.306901e-01  -1.674475e-06   8.884374e-02  -3.686582e-07   3.185011e-01  -9.112646e-07
   7.663411e-03   6.306901e-01  -1.474356e-06   8.884374e-02  -3.245993e-07   3.185011e-01  -8.023578e-07
   6.747544e-03   6.306901e-01  -1.298153e-06   8.884374e-02  -2.858059e-07   3.185011e-01  -7.064667e-07
   5.941134e-03   6.306901e-01  -1.143009e-06   8.884374e-02  -2.516487e-07   3.185011e-01  -6.220357e-07
   5.231099e-03   6.306901e-01  -1.006406e-06   8.884374e-02  -2.215738e-07   3.185011e-01  -5.476952e-07
   4.605922e-03   6.306901e-01  -8.861288e-07   8.884374e-02  -1.950931e-07   3.185011e-01  -4.822393e-07
   4.055461e-03   6.306901e-01  -7.802261e-07   8.884374e-02  -1.717772e-07   3.185011e-01  -4.246061e-07
   3.570786e-03   6.306901e-01  -6.869800e-07   8.884374e-02  -1.512479e-07   3.185011e-01  -3.738607e-07
   3.144035e-03   6.306901e-01  -6.048779e-07   8.884374e-02  -1.331720e-07   3.185011e-01  -3.291800e-07
   2.768287e-03   6.306901e-01  -5.325879e-07   8.884374e-02  -1.172564e-07   3.185011e-01  -2.898391e-07
   2.437444e-03   6.306901e-01  -4.689375e-07   8.884374e-02  -1.032429e-07   3.185011e-01  -2.552000e-07
   2.146141e-03   6.306901e-01  -4.128940e-07   8.884374e-02  -9.090415e-08   3.185011e-01  -2.247006e-07
   1.889652e-03   6.306901e-01  -3.635483e-07   8.884374e-02  -8.004005e-08   3.185011e-01  -1.978463e-07
   1.663817e-03   6.306901e-01  -3.201001e-07   8.884374e-02  -7.047433e-08   3.185011e-01  -1.742013e-07
   1.464971e-03   6.306901e-01  -2.818444e-07   8.884374e-02  -6.205183e-08   3.185011e-01  -1.533823e-07
   1.289890e-03   6.306901e-01  -2.481607e-07   8.884374e-02  -5.463591e-08   3.185011e-01  -1.350513e-07
   1.135733e-03   6.306901e-01  -2.185026e-07   8.884374e-02  -4.810628e-08   3.185011e-01  -1.189111e-07
   1.000000e-03   6.306901e-01  -1.923890e-07   8.884374e-02  -4.235702e-08   3.185011e-01  -1.046998e-07
