------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:26PM on March 06, 2024
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
    262   -3.7628353776    0.9152393357   -1.5443401845   -6.1852696393    1.8889731340   -2.6518009106
    263   -3.7676339502    0.9156270640   -1.5457134404   -6.1853589254    1.8889768029   -2.6519176171
    264   -3.7724301432    0.9160209830   -1.5470924275   -6.1854475350    1.8889804440   -2.6520334395
    265   -3.7772239278    0.9164210949   -1.5484770927   -6.1855354758    1.8889840577   -2.6521483877
    266   -3.7820152748    0.9168274001   -1.5498673838   -6.1856227554    1.8889876442   -2.6522624716
    267   -3.7868041579    0.9172399025   -1.5512632471   -6.1857093813    1.8889912038   -2.6523757010
    268   -3.7915905473    0.9176586007   -1.5526646305   -6.1857953607    1.8889947368   -2.6524880854
    269   -3.7963744131    0.9180834926   -1.5540714818   -6.1858807008    1.8889982436   -2.6525996342
    270   -3.8011557298    0.9185145807   -1.5554837489   -6.1859654088    1.8890017244   -2.6527103568
    271   -3.8059344692    0.9189518634   -1.5569013800   -6.1860494917    1.8890051795   -2.6528202621
    272   -3.8107106012    0.9193953367   -1.5583243230   -6.1861329562    1.8890086092   -2.6529293594
    273   -3.8154840979    0.9198449984   -1.5597525265   -6.1862158094    1.8890120138   -2.6530376574
    274   -3.8202549317    0.9203008455   -1.5611859392   -6.1862980577    1.8890153935   -2.6531451649
    275   -3.8250230744    0.9207628743   -1.5626245096   -6.1863797079    1.8890187486   -2.6532518906
    276   -3.8297884979    0.9212310803   -1.5640681869   -6.1864607664    1.8890220795   -2.6533578429
    277   -3.8345511780    0.9217054620   -1.5655169208   -6.1865412397    1.8890253863   -2.6534630301
    278   -3.8393110784    0.9221860072   -1.5669706592   -6.1866211340    1.8890286693   -2.6535674607
    279   -3.8440681755    0.9226727119   -1.5684293528   -6.1867004556    1.8890319287   -2.6536711426
    280   -3.8488224424    0.9231655716   -1.5698929511   -6.1867792106    1.8890351649   -2.6537740839
    281   -3.8535738527    0.9236645809   -1.5713614039   -6.1868574051    1.8890383781   -2.6538762926
    282   -3.8583223751    0.9241697279   -1.5728346615   -6.1869350450    1.8890415684   -2.6539777763
    283   -3.8630679771    0.9246809991   -1.5743126741   -6.1870121362    1.8890447362   -2.6540785429
    284   -3.8678106502    0.9251984080   -1.5757953921   -6.1870886845    1.8890478817   -2.6541785999
    285   -3.8725503452    0.9257219204   -1.5772827666   -6.1871646957    1.8890510052   -2.6542779547
    286   -3.8772870488    0.9262515432   -1.5787747481   -6.1872401753    1.8890541067   -2.6543766147
    287   -3.8820207258    0.9267872573   -1.5802712879   -6.1873151289    1.8890571867   -2.6544745872
    288   -3.8867513496    0.9273290532   -1.5817723378   -6.1873895620    1.8890602453   -2.6545718793
    289   -3.8914788962    0.9278769236   -1.5832778483   -6.1874634799    1.8890632827   -2.6546684981
    290   -3.8962033379    0.9284308567   -1.5847877716   -6.1875368881    1.8890662992   -2.6547644506
    291   -3.9009246460    0.9289908390   -1.5863020596   -6.1876097918    1.8890692949   -2.6548597436
    292   -3.9056427943    0.9295568589   -1.5878206645   -6.1876821962    1.8890722702   -2.6549543839
    293   -3.9103577555    0.9301289035   -1.5893435384   -6.1877541063    1.8890752251   -2.6550483782
    294   -3.9150695029    0.9307069601   -1.5908706341   -6.1878255272    1.8890781599   -2.6551417331
    295   -3.9197780097    0.9312910150   -1.5924019041   -6.1878964639    1.8890810748   -2.6552344551
    296   -3.9244832490    0.9318810542   -1.5939373014   -6.1879669213    1.8890839700   -2.6553265506
    297   -3.9291851941    0.9324770638   -1.5954767793   -6.1880369043    1.8890868457   -2.6554180259
    298   -3.9338838174    0.9330790271   -1.5970202909   -6.1881064176    1.8890897021   -2.6555088873
    299   -3.9385790968    0.9336869350   -1.5985677897   -6.1881754659    1.8890925395   -2.6555991409
    300   -3.9432710014    0.9343007664   -1.6001192301   -6.1882440538    1.8890953579   -2.6556887928
    301   -3.9479595042    0.9349205050   -1.6016745651   -6.1883121861    1.8890981575   -2.6557778490
    302   -3.9526445837    0.9355461402   -1.6032337491   -6.1883798671    1.8891009387   -2.6558663155
    303   -3.9573262095    0.9361776503   -1.6047967369   -6.1884471014    1.8891037014   -2.6559541980
    304   -3.9620043577    0.9368150211   -1.6063634827   -6.1885138934    1.8891064460   -2.6560415023
    305   -3.9666790015    0.9374582346   -1.6079339414   -6.1885802474    1.8891091726   -2.6561282342
    306   -3.9713501150    0.9381072732   -1.6095080680   -6.1886461677    1.8891118814   -2.6562143992
    307   -3.9760176728    0.9387621196   -1.6110858177   -6.1887116585    1.8891145725   -2.6563000028
    308   -3.9806816464    0.9394227524   -1.6126671459   -6.1887767241    1.8891172462   -2.6563850506
    309   -3.9853420192    0.9400891636   -1.6142520083   -6.1888413686    1.8891199026   -2.6564695479
    310   -3.9899987552    0.9407613223   -1.6158403604   -6.1889055959    1.8891225418   -2.6565535000
    311   -3.9946518299    0.9414392107   -1.6174321586   -6.1889694103    1.8891251640   -2.6566369123
    312   -3.9993012294    0.9421228222   -1.6190273590   -6.1890328156    1.8891277694   -2.6567197899
    313   -4.0039469166    0.9428121239   -1.6206259180   -6.1890958157    1.8891303582   -2.6568021379
    314   -4.0085888818    0.9435071126   -1.6222278002   -6.1891584146    1.8891329305   -2.6568839614
    315   -4.0132270758    0.9442077421   -1.6238329462   -6.1892206160    1.8891354865   -2.6569652654
    316   -4.0178614863    0.9449140055   -1.6254413214   -6.1892824237    1.8891380263   -2.6570460548
    317   -4.0224920937    0.9456258885   -1.6270528828   -6.1893438415    1.8891405500   -2.6571263345
    318   -4.0271188593    0.9463433532   -1.6286675888   -6.1894048730    1.8891430579   -2.6572061093
    319   -4.0317417731    0.9470663960   -1.6302853961   -6.1894655219    1.8891455501   -2.6572853839
    320   -4.0363608023    0.9477949855   -1.6319062634   -6.1895257917    1.8891480267   -2.6573641631
    321   -4.0409759274    0.9485291060   -1.6335301480   -6.1895856860    1.8891504878   -2.6574424514
    322   -4.0455871212    0.9492687318   -1.6351570088   -6.1896452082    1.8891529337   -2.6575202535
    323   -4.0501943601    0.9500138417   -1.6367868041   -6.1897043619    1.8891553645   -2.6575975738
    324   -4.0547976199    0.9507644131   -1.6384194928   -6.1897631505    1.8891577802   -2.6576744168
    325   -4.0593968778    0.9515204248   -1.6400550336   -6.1898215773    1.8891601810   -2.6577507870
    326   -4.0639921079    0.9522818515   -1.6416933859   -6.1898796457    1.8891625672   -2.6578266886
    327   -4.0685832892    0.9530486735   -1.6433345089   -6.1899373589    1.8891649387   -2.6579021260
    328   -4.0731703978    0.9538208672   -1.6449783631   -6.1899947201    1.8891672958   -2.6579771034
    329   -4.0777534069    0.9545984055   -1.6466249064   -6.1900517327    1.8891696385   -2.6580516250
    330   -4.0823322967    0.9553812689   -1.6482740996   -6.1901083998    1.8891719671   -2.6581256950
    331   -4.0869070407    0.9561694301   -1.6499259032   -6.1901647244    1.8891742815   -2.6581993174
    332   -4.0914776177    0.9569628671   -1.6515802773   -6.1902207098    1.8891765821   -2.6582724963
    333   -4.0960440041    0.9577615553   -1.6532371828   -6.1902763589    1.8891788688   -2.6583452357
    334   -4.1006061775    0.9585654712   -1.6548965801   -6.1903316747    1.8891811418   -2.6584175396
    335   -4.1051641121    0.9593745865   -1.6565584305   -6.1903866603    1.8891834013   -2.6584894118
    336   -4.1097177937    0.9601888867   -1.6582226951   -6.1904413187    1.8891856473   -2.6585608561
    337   -4.1142671904    0.9610083362   -1.6598893352   -6.1904956526    1.8891878800   -2.6586318765
    338   -4.1188122836    0.9618329144   -1.6615583128   -6.1905496651    1.8891900994   -2.6587024766
    339   -4.1233530500    0.9626625952   -1.6632295893   -6.1906033589    1.8891923058   -2.6587726602
    340   -4.1278894654    0.9634973512   -1.6649031271   -6.1906567368    1.8891944992   -2.6588424309
    341   -4.1324215152    0.9643371656   -1.6665788880   -6.1907098017    1.8891966797   -2.6589117925
    342   -4.1369491697    0.9651820039   -1.6682568348   -6.1907625562    1.8891988475   -2.6589807484
    343   -4.1414724103    0.9660318444   -1.6699369298   -6.1908150032    1.8892010026   -2.6590493023
    344   -4.1459912128    0.9668866583   -1.6716191361   -6.1908671452    1.8892031452   -2.6591174575
    345   -4.1505055582    0.9677464230   -1.6733034168   -6.1909189849    1.8892052754   -2.6591852177
    346   -4.1550154249    0.9686111122   -1.6749897350   -6.1909705250    1.8892073933   -2.6592525862
    347   -4.1595207886    0.9694806964   -1.6766780540   -6.1910217681    1.8892094990   -2.6593195664
    348   -4.1640216310    0.9703551528   -1.6783683377   -6.1910727166    1.8892115925   -2.6593861617
    349   -4.1685179284    0.9712344521   -1.6800605498   -6.1911233732    1.8892136741   -2.6594523753
    350   -4.1730096635    0.9721185723   -1.6817546544   -6.1911737403    1.8892157438   -2.6595182106
    351   -4.1774968116    0.9730074821   -1.6834506157   -6.1912238204    1.8892178016   -2.6595836707
    352   -4.1819793534    0.9739011568   -1.6851483981   -6.1912736160    1.8892198478   -2.6596487589
    353   -4.1864572678    0.9747995691   -1.6868479663   -6.1913231294    1.8892218824   -2.6597134783
    354   -4.1909305347    0.9757026924   -1.6885492852   -6.1913723631    1.8892239055   -2.6597778321
    355   -4.1953991332    0.9766104994   -1.6902523195   -6.1914213194    1.8892259172   -2.6598418233
    356   -4.1998630431    0.9775229633   -1.6919570349   -6.1914700007    1.8892279176   -2.6599054550
    357   -4.2043222440    0.9784400564   -1.6936633965   -6.1915184093    1.8892299068   -2.6599687303
    358   -4.2087767161    0.9793617521   -1.6953713701   -6.1915665474    1.8892318849   -2.6600316520
    359   -4.2132264387    0.9802880221   -1.6970809213   -6.1916144174    1.8892338519   -2.6600942233
    360   -4.2176713932    0.9812188403   -1.6987920163   -6.1916620214    1.8892358081   -2.6601564468
    361   -4.2221115581    0.9821541772   -1.7005046212   -6.1917093616    1.8892377534   -2.6602183257
    362   -4.2265469155    0.9830940074   -1.7022187024   -6.1917564404    1.8892396879   -2.6602798627
    363   -4.2309774452    0.9840383024   -1.7039342267   -6.1918032597    1.8892416118   -2.6603410606
    364   -4.2354031278    0.9849870344   -1.7056511606   -6.1918498218    1.8892435251   -2.6604019223
    365   -4.2398239442    0.9859401758   -1.7073694711   -6.1918961287    1.8892454280   -2.6604624505
    366   -4.2442398750    0.9868976987   -1.7090891255   -6.1919421826    1.8892473204   -2.6605226480
    367   -4.2486509013    0.9878595752   -1.7108100912   -6.1919879856    1.8892492025   -2.6605825174
    368   -4.2530570044    0.9888257774   -1.7125323356   -6.1920335396    1.8892510744   -2.6606420614
    369   -4.2574581653    0.9897962774   -1.7142558265   -6.1920788467    1.8892529362   -2.6607012827
    370   -4.2618543660    0.9907710479   -1.7159805317   -6.1921239089    1.8892547878   -2.6607601839
    371   -4.2662455870    0.9917500594   -1.7177064195   -6.1921687281    1.8892566295   -2.6608187675
    372   -4.2706318095    0.9927332837   -1.7194334582   -6.1922133065    1.8892584613   -2.6608770362
    373   -4.2750130172    0.9937206948   -1.7211616162   -6.1922576457    1.8892602833   -2.6609349925
    374   -4.2793891898    0.9947122620   -1.7228908621   -6.1923017479    1.8892620955   -2.6609926388
    375   -4.2837603109    0.9957079590   -1.7246211650   -6.1923456149    1.8892638981   -2.6610499777
    376   -4.2881263620    0.9967077569   -1.7263524940   -6.1923892485    1.8892656911   -2.6611070115
    377   -4.2924873253    0.9977116274   -1.7280848178   -6.1924326507    1.8892674746   -2.6611637429
    378   -4.2968431832    0.9987195423   -1.7298181064   -6.1924758232    1.8892692486   -2.6612201740
    379   -4.3011939183    0.9997314733   -1.7315523292   -6.1925187678    1.8892710133   -2.6612763074
    380   -4.3055395135    1.0007473928   -1.7332874558   -6.1925614865    1.8892727687   -2.6613321453
    381   -4.3098799507    1.0017672709   -1.7350234565   -6.1926039809    1.8892745148   -2.6613876901
    382   -4.3142152118    1.0027910787   -1.7367603013   -6.1926462529    1.8892762519   -2.6614429441
    383   -4.3185452832    1.0038187918   -1.7384979604   -6.1926883040    1.8892779798   -2.6614979095
    384   -4.3228701446    1.0048503777   -1.7402364046   -6.1927301362    1.8892796988   -2.6615525887
    385   -4.3271897805    1.0058858093   -1.7419756045   -6.1927717511    1.8892814088   -2.6616069839
    386   -4.3315041757    1.0069250604   -1.7437155307   -6.1928131503    1.8892831100   -2.6616610972
    387   -4.3358133107    1.0079680989   -1.7454561546   -6.1928543356    1.8892848023   -2.6617149308
    388   -4.3401171709    1.0090148983   -1.7471974475   -6.1928953086    1.8892864860   -2.6617684870
    389   -4.3444157409    1.0100654317   -1.7489393803   -6.1929360710    1.8892881610   -2.6618217678
    390   -4.3487090020    1.0111196674   -1.7506819252   -6.1929766243    1.8892898274   -2.6618747753
    391   -4.3529969405    1.0121775798   -1.7524250536   -6.1930169701    1.8892914853   -2.6619275117
    392   -4.3572795390    1.0132391389   -1.7541687375   -6.1930571102    1.8892931347   -2.6619799791
    393   -4.3615567813    1.0143043157   -1.7559129492   -6.1930970459    1.8892947757   -2.6620321795
    394   -4.3658286542    1.0153730849   -1.7576576606   -6.1931367789    1.8892964084   -2.6620841148
    395   -4.3700951392    1.0164454144   -1.7594028447   -6.1931763108    1.8892980329   -2.6621357872
    396   -4.3743562231    1.0175212789   -1.7611484738   -6.1932156430    1.8892996491   -2.6621871987
    397   -4.3786118907    1.0186006498   -1.7628945207   -6.1932547770    1.8893012572   -2.6622383511
    398   -4.3828621249    1.0196834967   -1.7646409585   -6.1932937144    1.8893028572   -2.6622892465
    399   -4.3871069111    1.0207697918   -1.7663877602   -6.1933324566    1.8893044492   -2.6623398868
    400   -4.3913462368    1.0218595099   -1.7681348993   -6.1933710051    1.8893060332   -2.6623902739
    401   -4.3955800839    1.0229526187   -1.7698823495   -6.1934093614    1.8893076093   -2.6624404096
    402   -4.3998084391    1.0240490915   -1.7716300838   -6.1934475268    1.8893091776   -2.6624902960
    403   -4.4040312884    1.0251489009   -1.7733780766   -6.1934855028    1.8893107381   -2.6625399347
    404   -4.4082486167    1.0262520179   -1.7751263020   -6.1935232908    1.8893122909   -2.6625893278
    405   -4.4124604089    1.0273584136   -1.7768747340   -6.1935608922    1.8893138360   -2.6626384769
    406   -4.4166666530    1.0284680623   -1.7786233468   -6.1935983084    1.8893153735   -2.6626873839
    407   -4.4208673338    1.0295809346   -1.7803721149   -6.1936355407    1.8893169034   -2.6627360505
    408   -4.4250624365    1.0306970017   -1.7821210133   -6.1936725905    1.8893184258   -2.6627844786
    409   -4.4292519477    1.0318162357   -1.7838700165   -6.1937094591    1.8893199408   -2.6628326699
    410   -4.4334358541    1.0329386096   -1.7856190997   -6.1937461479    1.8893214485   -2.6628806261
    411   -4.4376141423    1.0340640953   -1.7873682381   -6.1937826582    1.8893229487   -2.6629283490
    412   -4.4417867992    1.0351926654   -1.7891174069   -6.1938189912    1.8893244417   -2.6629758402
    413   -4.4459538102    1.0363242908   -1.7908665815   -6.1938551482    1.8893259275   -2.6630231014
    414   -4.4501151625    1.0374589440   -1.7926157379   -6.1938911306    1.8893274060   -2.6630701343
    415   -4.4542708429    1.0385965971   -1.7943648517   -6.1939269396    1.8893288775   -2.6631169405
    416   -4.4584208384    1.0397372224   -1.7961138990   -6.1939625764    1.8893303419   -2.6631635217
    417   -4.4625651374    1.0408807938   -1.7978628558   -6.1939980423    1.8893317992   -2.6632098795
    418   -4.4667037257    1.0420272819   -1.7996116984   -6.1940333386    1.8893332496   -2.6632560154
    419   -4.4708365904    1.0431766589   -1.8013604036   -6.1940684663    1.8893346931   -2.6633019312
    420   -4.4749637213    1.0443288997   -1.8031089473   -6.1941034267    1.8893361297   -2.6633476283
    421   -4.4790851034    1.0454839741   -1.8048573071   -6.1941382211    1.8893375594   -2.6633931083
    422   -4.4832007254    1.0466418556   -1.8066054595   -6.1941728506    1.8893389824   -2.6634383728
    423   -4.4873105747    1.0478025162   -1.8083533816   -6.1942073163    1.8893403987   -2.6634834233
    424   -4.4914146407    1.0489659305   -1.8101010507   -6.1942416195    1.8893418082   -2.6635282612
    425   -4.4955129108    1.0501320704   -1.8118484444   -6.1942757612    1.8893432112   -2.6635728882
    426   -4.4996053720    1.0513009071   -1.8135955398   -6.1943097427    1.8893446075   -2.6636173056
    427   -4.5036920141    1.0524724153   -1.8153423151   -6.1943435650    1.8893459974   -2.6636615150
    428   -4.5077728250    1.0536465674   -1.8170887479   -6.1943772292    1.8893473807   -2.6637055178
    429   -4.5118477933    1.0548233362   -1.8188348163   -6.1944107365    1.8893487576   -2.6637493155
    430   -4.5159169077    1.0560026949   -1.8205804984   -6.1944440880    1.8893501280   -2.6637929094
    431   -4.5199801570    1.0571846164   -1.8223257726   -6.1944772846    1.8893514921   -2.6638363011
